"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified","NA."
"11",127147,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127147","Phrynorhombus norvegicus","(Günther, 1862)","unaccepted",NA,220,"Species",293018,"Zeugopterus norvegicus","(Günther, 1862)",126123,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Phrynorhombus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Phrynorhombus norvegicus (Günther, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127147 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127147",1,0,0,0,NA,"exact","2021-08-27T06:46:32.600Z",NA
"12",105887,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105887","Raja montagui","Fowler, 1910","accepted",NA,220,"Species",105887,"Raja montagui","Fowler, 1910",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2022). FishBase. Raja montagui Fowler, 1910. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105887 on 2022-05-13","urn:lsid:marinespecies.org:taxname:105887",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"13",126448,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126448","Ciliata mustela","(Linnaeus, 1758)","accepted",NA,220,"Species",126448,"Ciliata mustela","(Linnaeus, 1758)",125741,"Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Ciliata","Froese, R. and D. Pauly. Editors. (2022). FishBase. Ciliata mustela (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126448 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126448",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"14",126445,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126445","Trisopterus luscus","(Linnaeus, 1758)","accepted",NA,220,"Species",126445,"Trisopterus luscus","(Linnaeus, 1758)",125739,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trisopterus luscus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126445 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126445",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"15",126761,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126761","Blennius ocellaris","Linnaeus, 1758","accepted",NA,220,"Species",126761,"Blennius ocellaris","Linnaeus, 1758",125915,"Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Blennius","Froese, R. and D. Pauly. Editors. (2022). FishBase. Blennius ocellaris Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126761 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126761",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"16",127262,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127262","Chelidonichthys lucerna","(Linnaeus, 1758)","accepted",NA,220,"Species",127262,"Chelidonichthys lucerna","(Linnaeus, 1758)",126178,"Animalia","Chordata","Actinopteri","Perciformes","Triglidae","Chelidonichthys","Froese, R. and D. Pauly. Editors. (2022). FishBase. Chelidonichthys lucerna (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127262 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127262",1,0,0,0,NA,"exact","2013-01-08T11:20:45.073Z",NA
"17",101163,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101163","Petromyzontidae","Bonaparte, 1831","accepted",NA,140,"Family",101163,"Petromyzontidae","Bonaparte, 1831",10201,"Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae",NA,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Petromyzontidae Bonaparte, 1831. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101163 on 2022-05-13","urn:lsid:marinespecies.org:taxname:101163",1,1,1,NA,NA,"exact","2015-04-17T08:48:21.843Z",NA
"18",126438,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126438","Merlangius merlangus","(Linnaeus, 1758)","accepted",NA,220,"Species",126438,"Merlangius merlangus","(Linnaeus, 1758)",125734,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Merlangius","Froese, R. and D. Pauly. Editors. (2022). FishBase. Merlangius merlangus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126438 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126438",1,1,0,0,NA,"exact","2020-09-24T06:35:24.693Z",NA
"19",126444,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126444","Trisopterus esmarkii","(Nilsson, 1855)","accepted",NA,220,"Species",126444,"Trisopterus esmarkii","(Nilsson, 1855)",125739,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trisopterus esmarkii (Nilsson, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126444 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126444",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"20",126436,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126436","Gadus morhua","Linnaeus, 1758","accepted",NA,220,"Species",126436,"Gadus morhua","Linnaeus, 1758",125732,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Gadus morhua Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126436 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126436",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"21",126437,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126437","Melanogrammus aeglefinus","(Linnaeus, 1758)","accepted",NA,220,"Species",126437,"Melanogrammus aeglefinus","(Linnaeus, 1758)",125733,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Melanogrammus aeglefinus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126437 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126437",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"22",126822,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126822","Trachurus trachurus","(Linnaeus, 1758)","accepted",NA,220,"Species",126822,"Trachurus trachurus","(Linnaeus, 1758)",125946,"Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trachurus trachurus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126822 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126822",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"23",107254,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=107254","Nephrops norvegicus","(Linnaeus, 1758)","accepted",NA,220,"Species",107254,"Nephrops norvegicus","(Linnaeus, 1758)",106863,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Nephrops","WoRMS (2022). Nephrops norvegicus (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107254 on 2022-05-13","urn:lsid:marinespecies.org:taxname:107254",1,0,0,0,0,"exact","2020-09-02T19:03:26.137Z",NA
"24",126425,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126425","Sprattus sprattus","(Linnaeus, 1758)","accepted",NA,220,"Species",126425,"Sprattus sprattus","(Linnaeus, 1758)",125723,"Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sprattus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Sprattus sprattus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126425 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126425",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"25",126484,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126484","Merluccius merluccius","(Linnaeus, 1758)","accepted",NA,220,"Species",126484,"Merluccius merluccius","(Linnaeus, 1758)",125762,"Animalia","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Froese, R. and D. Pauly. Editors. (2022). FishBase. Merluccius merluccius (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126484 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126484",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
